author,genre,image_url,price,rating,reviews_count,title
Wonder House Books,Children's Books,https://m.media-amazon.com/images/I/71Ytm8A3piL._AC_UY218_.jpg,99,4.4,"30,480",My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing) |Best Selling Tracing Book for Kids in India | Early Learning | Tracing Lines & Pattern Writing Activities | Premium Quality Return Gift | Ages 2 - 5 Years | 1.5 hours of fun time
Wonder House Books,Children's Books,https://m.media-amazon.com/images/I/71My1M0AgZL._AC_UY218_.jpg,369,4.5,"2,681",101 Tales The Great Panchatantra Collection - Collection of Witty Moral Stories For Kids For Personality Development (Hardback)
Dipavali Sen,Children's Books,https://m.media-amazon.com/images/I/812aad7IwQL._AC_UY218_.jpg,433,4.6,"1,576",365 Stories from the Vedas: The Upanishads and the Puranas - Indian Mythology Storybook for Kids | Ancient Indian Wisdom | Spiritual Tales | Life Lessons | Colourful Illustrated for Children
Alan Moore,Comics & Graphic Novels,https://m.media-amazon.com/images/I/71hIHnZbkTL._AC_UY218_.jpg,725,4.8,209,Watchmen: DC Compact Comics Edition
Nikhil Gulati,Comics & Graphic Novels,https://m.media-amazon.com/images/I/81qbeRHU0PL._AC_UY218_.jpg,313,4.4,342,The People of the Indus: A Graphic Narrative on the Rise and Fall of the Harappan Civilization
Enid Blyton,Comics & Graphic Novels,https://m.media-amazon.com/images/I/71-M7ydTMdL._AC_UY218_.jpg,359,4.2,61,FAMOUS FIVE GRAPHIC NOVEL: FIVE ON A TREASURE ISLAND
Art Spiegelman,Comics & Graphic Novels,https://m.media-amazon.com/images/I/71nXxfnNEcL._AC_UY218_.jpg,710.,4.8,"9,772",Complete Maus (Graphic Novel)
Rick Riordan,Comics & Graphic Novels,https://m.media-amazon.com/images/I/81v6q66WbmL._AC_UY218_.jpg,574,4.5,"4,666",Percy Jackson: The Graphic Novel (Percy Jackson and the Olympians)
Rick Riordan,Comics & Graphic Novels,https://m.media-amazon.com/images/I/91buqu1rT1L._AC_UY218_.jpg,616.,4.5,364,Percy Jackson and the Titan's Curse: The Graphic Novel (Book 3)
Dav Pilkey,Comics & Graphic Novels,https://m.media-amazon.com/images/I/914FNnRk19L._AC_UY218_.jpg,399,4.8,"20,413",Cat Kid Comic Club: A Graphic Novel (Cat Kid Comic Club #1): From the Creator of Dog Man
by,Comics & Graphic Novels,https://m.media-amazon.com/images/I/81VrDhuwlgL._AC_UY218_.jpg,777,4.7,176,"Sapiens A Graphic History, Volume 3: The Masters of History"
